Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
PSG,PSG01SHINV12INT - PSG01SHINV12EXT,Split Hi-Wall,12000.0,528.0,5.51
TCL,TAC-09CHSA2-INV,Split Hi-Wall,9000.0,362.0,6.02
TCL,TAC-32CHSA2-INV,Split Hi-Wall,32000.0,1249.0,6.2
TCL,TAC-12CHSA2-INV,Split Hi-Wall,12000.0,484.0,6.01
EMMETI,CFEMT09IIS2BX - CFEMT09EIS2BX,Split Hi-Wall,9000.0,383.0,5.7
EMMETI,CFEMT18IIS2BX - CFEMT18EIS2BX,Split Hi-Wall,18000.0,762.0,5.72
EMMETI,CFEMT24IIS2BX - CFEMT24EIS2BX,Split Hi-Wall,24000.0,1016.0,5.73
EMMETI,CFEMT30IIS2BX - CFEMT30EIS2BX,Split Hi-Wall,30000.0,1267.0,5.71
HQ,CFHQ18IIS2AX / CFHQ18EIS2AX,Split Hi-Wall,18000.0,762.0,5.72
MBO,MBOINV24C2I,Split Hi-Wall,24000.0,97.5,5.5
VIX,AS-09CR2SYDDK00_IDU / AS-09CR2SYDDK00_ODU,Split Hi-Wall,9000.0,595.0,3.21
VIX,AS-18CR2SXADK03_IDU / AS-18CR2SXADK03_ODU,Split Hi-Wall,18000.0,1130.0,3.67
VIX,AS-24CR2SBBDK01_IDU / AS-24CR2SBBDK01_ODU,Split Hi-Wall,24000.0,1538.0,3.78
VIX,AS-30CT2SDKDK04_IDU / AS-30CT2SDKDK04_ODU,Split Hi-Wall,30000.0,1513.0,4.48
VIX,AS-09TW2RLDDK00_IDU / AS-09TW2RLDDK00_ODU,Split Hi-Wall,9000.0,264.0,7.37
VIX,AS-18TW2RMADK02_IDU / AS-18TW2RMADK02_ODU,Split Hi-Wall,18000.0,468.0,9.0
VIX,AS-12CR2SLEDK03_IDU / AS-12CR2SLEDK03_ODU,Split Hi-Wall,12000.0,946.7,3.14
VG,VG02SRINV24INT / VG02SRINV24EXT,Split Hi-Wall,24000.0,1056.0,5.55
VG,VG02SRINV30INT / VG02SRINV30EXT,Split Hi-Wall,30000.0,1350.0,5.5
PSG,PSG02SFINV18INT / PSG02SFINV18EXT,Split Hi-Wall,18000.0,805.0,5.53
PSG,PSG02SFINV30INT / PSG02SFINV30EXT,Split Hi-Wall,30000.0,1350.0,5.5
PSG,PSG02SRINV09INT / PSG02SRINV09EXT,Split Hi-Wall,9000.0,395.0,5.55
GREE,GWC12AAC-D3NNA1EN,Split Hi-Wall,12000.0,870.0,3.51
GREE,GWH09QB-D3NNB4A,Split Hi-Wall,9000.0,17.1,3.24
GREE,GWH09QB-D3NNB4C,Split Hi-Wall,9000.0,17.0,3.24
GREE,GWH12QC-D3NNB4A,Split Hi-Wall,12000.0,22.8,3.24
GREE,GWH09AAB-D3NNA1B,Split Hi-Wall,9000.0,17.1,3.24
GREE,GWH09AAB-D3NNA1C,Split Hi-Wall,9000.0,634.0,3.68
GREE,GWH18AAD-D3NNA1D,Split Hi-Wall,18000.0,33.9,3.31
GREE,GWH18AAD-D3NNA1DN,Split Hi-Wall,18000.0,1296.0,3.52
GREE,GWH24AGE-D3NNA2A,Split Hi-Wall,24000.0,1540.0,3.73
BRAVOLT,RC01BT-09KI (Evaporadora) / RC01BT-09KE (Condensadora),Split Hi-Wall,9000.0,346.0,5.83
ARFRIOBOM,AFB01SHINV18INT - AFB01SHINV18EXT,Split Hi-Wall,18000.0,791.0,5.51
LIFE,LIFEH24K IN (Evaporadora) / LIFEH24K OUT (Condensadora),Split Hi-Wall,24000.0,1041.0,5.5
LIFE,LIFEH18K IN (Evaporadora) / LIFEH18K OUT (Condensadora),Split Hi-Wall,18000.0,803.0,5.5
LIFE,LIFEH12K IN (Evaporadora) / LIFEH12K OUT (Condensadora),Split Hi-Wall,12000.0,505.0,5.5
LIFE,LIFE12INT / LIFE12EXT,Split Hi-Wall,12000.0,540.0,5.55
TECHFRIO,TECHECO18IND / TECHECO18OUT,Split Hi-Wall,18000.0,615.0,7.1
