Marca,Modelo,Status do Modelo,Tipo,Modelo Unidade Interna,Modelo Unidade Externa,Função,Tensão (V),Rotação,Fluido Refrigerante,"Se outro fluido refrigerante, especificar",Carga do Fluido Refrigerante (g),Capacidade de Refrigeração Nominal (Btu/h),Capacidade de Refrigeração Nominal (W),Potência Consumida no Modo Espera (W),Capacidade a 35 °C e em Carga Total (W),Potência Consumida a 35 °C e em Carga Total (W),Capacidade a 35 °C e em Carga Parcial (W),Potência Consumida a 35 °C e em Carga Parcial (W),Capacidade a 29 °C e em Carga Parcial (W),Potência Consumida a 29 °C e em Carga Parcial (W),Capacidade a 29 ºC e Carga Total (W),Potência Consumida a 29 ºC e Carga Total (W) ,IDRS (Wh/Wh),Consumo Anual de Energia (kWh),Faixa de Classificação,Código de Barras,Status do Registro,Número do Registro
KOMECO,MXS 18FC 2LX / KOS 18FC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873105569,Cancelado,001082/2016
KOMECO,KOHB 12FC G1 / KOHB 12FC G1,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873164962,Cancelado,001082/2016
KOMECO,KOS 30QC 3LX / KOS 30QC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873110259,Cancelado,001074/2016
KOMECO,ABS 12QC 2LX / KOS 12QC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873109963,Cancelado,001074/2016
KOMECO,MXS 12QC 2LX / KOS 12QC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873109345,Cancelado,001074/2016
KOMECO,MXS 18QC 2LX / KOS 18QC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873105576,Cancelado,001074/2016
KOMECO,LTS 18QC 3LX / KOS 18FC 2LX,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873105637,Cancelado,001074/2016
KOMECO,MXS 09QC 4LA / KOS 09QC 4LA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873154178,Cancelado,001074/2016
KOMECO,BZS 12QC 4LA / KOS 12QC 4LA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873154536,Cancelado,001074/2016
KOMECO,BZS 18QC 4LA / KOS 18QC 4LA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7896873154550,Cancelado,001074/2016
Elgin,EAQ-18000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7897013521638,Cancelado,000046/2016
Elgin,ERF-30000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7897013527906,Cancelado,000045/2016
Elgin,PEQI36B2NB / PEQE36B2NB,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001968/2012
TIVAH,U24H,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,006714/2016
COOL,KEMPR09INT/KEMPR09EXP,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,006810/2016
Philco,PH24000FM5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,7899466420759,Cancelado,004995/2014
PANASONIC CS/CU-YE12MKV-7,PANASONIC CS/CU-YE12MKV-7,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,003266/2012
Daikin - FCQ42KVL / RZR42LUVL,Daikin - FCQ42KVL / RZR42LUVL,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,004044/2012
BOSCH - ACST 18 PRE FM IN 11 (INTERNO) - ACST 18 PRE FM EX 11 (EXTERNO,BOSCH - ACST 18 PRE FM IN 11 (INTERNO) - ACST 18 PRE FM EX 11 (EXTERNO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,004064/2012
GREE . GJ5-12LM,GREE . GJ5-12LM,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE. GJ7-L/D,GREE. GJ7-L/D,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
Electrolux - KI36F / KE36F,Electrolux - KI36F / KE36F,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000418/2012
GREE. GWC09MA-D1NNC3E/I/GWC09MA-D1NNC3E/O,GREE. GWC09MA-D1NNC3E/I/GWC09MA-D1NNC3E/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000516/2012
GREE. GSW30-22L/BI/GSW30-22L/BO,GREE. GSW30-22L/BI/GSW30-22L/BO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000516/2012
GREE. GWHN18ACND1A3B/I/GWHN18ACND1A3B/O,GREE. GWHN18ACND1A3B/I/GWHN18ACND1A3B/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000517/2012
GREE. GKH36D1BI/GUCN36TF1AO,GREE. GKH36D1BI/GUCN36TF1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000520/2012
GREE. GTH36D1BI/GUCN36TH1AO,GREE. GTH36D1BI/GUCN36TH1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000522/2012
GREE. GTH48D1BI/GUCN48TF1AO,GREE. GTH48D1BI/GUCN48TF1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000522/2012
KOMECO / KOC18QC G2 / KOC18QC G2,KOMECO / KOC18QC G2 / KOC18QC G2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000582/2012
KOMECO / KOP60FC G3 UE220 / KOP60FC G3 UE220,KOMECO / KOP60FC G3 UE220 / KOP60FC G3 UE220,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000585/2012
KOMECO / KOP60QC G3 UE380 / KOP60QC G3 UE380,KOMECO / KOP60QC G3 UE380 / KOP60QC G3 UE380,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000586/2012
GREE. GJ7-22LM/C,GREE. GJ7-22LM/C,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE. GJ7-22L/H,GREE. GJ7-22L/H,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE. GJ9-22LM/B,GREE. GJ9-22LM/B,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE. GJE10AB-D1MNC1A,GREE. GJE10AB-D1MNC1A,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000513/2012
GREE. GJ18-22LMC,GREE. GJ18-22LMC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000514/2012
GREE. GWCN07DAND1A3A/I/GWCN07DAND1A3A/O,GREE. GWCN07DAND1A3A/I/GWCN07DAND1A3A/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000516/2012
GREE. GWH09MA-D1NNA3C/I/GWH09MA-D1NNA3C/O,GREE. GWH09MA-D1NNA3C/I/GWH09MA-D1NNA3C/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000517/2012
GREE. GWHN12DBND1A3A/I/GWHN12DBND1A3A/O,GREE. GWHN12DBND1A3A/I/GWHN12DBND1A3A/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000517/2012
GREE. GWC09KF-D3DNA5A/I/GWC09KF-D3DNA5A/O,GREE. GWC09KF-D3DNA5A/I/GWC09KF-D3DNA5A/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000519/2012
GREE. GKH36D1BI/GUCN36TH1AO,GREE. GKH36D1BI/GUCN36TH1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000520/2012
hoss 24000 btus 24kbc/h-exe,hoss 24000 btus 24kbc/h-exe,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000343/2012
GREE . GJC05BJ-A1MND1A,GREE . GJC05BJ-A1MND1A,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE.GJ7-22LM/E,GREE.GJ7-22LM/E,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000510/2012
GREE. GJ10-22LA,GREE. GJ10-22LA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000512/2012
GREE. GJE10AB-D1RNC2A,GREE. GJE10AB-D1RNC2A,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000513/2012
GREE. GWC18MC-D1NNA3C/I/GWC18MC-D1NNA3C/O,GREE. GWC18MC-D1NNA3C/I/GWC18MC-D1NNA3C/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000516/2012
GREE. GWH07MA-D1NNA3C/I/GWH07MA-D1NNA3C/O,GREE. GWH07MA-D1NNA3C/I/GWH07MA-D1NNA3C/O,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000517/2012
GREE. GKH48D1BI/GUHN48TF1AO,GREE. GKH48D1BI/GUHN48TF1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000521/2012
GREE. GTH24D1BI/GUCN24TD1AO,GREE. GTH24D1BI/GUCN24TD1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000522/2012
GREE. GTH36D1BI/GUCN36TF1AO,GREE. GTH36D1BI/GUCN36TF1AO,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000522/2012
GREE. GST36-38R/AI/GST36-38R/AI,GREE. GST36-38R/AI/GST36-38R/AI,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000523/2012
EC07R,EC07R,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Inativo,000614/2012
KOMECO / KOP60QC G2 UE380 / KOP60QC G2 UE380,KOMECO / KOP60QC G2 UE380 / KOP60QC G2 UE380,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000586/2012
Elgin / SRFIA-18000-2 / SRFEA-18000-2,Elgin / SRFIA-18000-2 / SRFEA-18000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001970/2012
Elgin / SRQIA-18000-2 / SRQEA-18000-2,Elgin / SRQIA-18000-2 / SRQEA-18000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001975/2012
Artelink / ST09QFI / ST09QFE,Artelink / ST09QFI / ST09QFE,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000785/2012
Carrier - 42XQC048515LC/38CQD048235MC,Carrier - 42XQC048515LC/38CQD048235MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000862/2012
Carrier - 42XQC060515LC/38CQE060535MC,Carrier - 42XQC060515LC/38CQE060535MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000862/2012
: Westinghouse- WIWXL-09KNW1(B) - (Unid. Interna) - 09k [Btus*h],: Westinghouse- WIWXL-09KNW1(B) - (Unid. Interna) - 09k [Btus*h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000947/2012
Elgin / EAF-7500-2,Elgin / EAF-7500-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001979/2012
Elgin / SUFIW-7000-2 / SJFE-7000-2,Elgin / SUFIW-7000-2 / SJFE-7000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001970/2012
Elgin / SUFI-9000-1 / SUFE-9000-1,Elgin / SUFI-9000-1 / SUFE-9000-1,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001970/2012
Elgin / SUFI-12000-2 / SUFE-12000-2,Elgin / SUFI-12000-2 / SUFE-12000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001970/2012
Elgin / SUQIL-12000-2 / SUQEA-120000-2,Elgin / SUQIL-12000-2 / SUQEA-120000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001975/2012
Elgin / SUFIL-9000-2 / SUFEA-9000-2,Elgin / SUFIL-9000-2 / SUFEA-9000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001970/2012
Elgin / SUQIW-7000-2 / SJQE-7000-2,Elgin / SUQIW-7000-2 / SJQE-7000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001975/2012
Elgin / SRQI-9000-2 / SRQE-9000-2,Elgin / SRQI-9000-2 / SRQE-9000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001975/2012
Elgin / SRQI-18000-2 / SRQE-18000-2,Elgin / SRQI-18000-2 / SRQE-18000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001975/2012
Carrier - 40KWCA048515LC/38CCD048535MC,Carrier - 40KWCA048515LC/38CCD048535MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000811/2012
Carrier - 40KWQA048515LC/38CQD048535MC,Carrier - 40KWQA048515LC/38CQD048535MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000810/2012
Carrier - 42XQC060515LC/38CCD060235MC,Carrier - 42XQC060515LC/38CCD060235MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000863/2012
Carrier - 42XQC030515LC/38KQA030515MC,Carrier - 42XQC030515LC/38KQA030515MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000862/2012
Elgin / PHQI-30000-2 / PHQE-30000-2,Elgin / PHQI-30000-2 / PHQE-30000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001968/2012
Elgin / PHQI-36000-2 / PHQE-36000-2,Elgin / PHQI-36000-2 / PHQE-36000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,001968/2012
Westinghouse- WCHXL-18KCR1(B) - (unid. externa) ? 18k [Btus*h],Westinghouse- WCHXL-18KCR1(B) - (unid. externa) ? 18k [Btus*h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000947/2012
Westinghouse - WIWXL-12KNW1(A) -(Unid. Interna) - 12k [Btus*h],Westinghouse - WIWXL-12KNW1(A) -(Unid. Interna) - 12k [Btus*h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000947/2012
Westinghouse - WCHXL-18KCR1(A) -  (unid. externa) ? 18k [Btus*h],Westinghouse - WCHXL-18KCR1(A) -  (unid. externa) ? 18k [Btus*h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000947/2012
Westinghouse - WCHXL-07KCR1(A) - (unid. externa) - 07k [Btus*h],Westinghouse - WCHXL-07KCR1(A) - (unid. externa) - 07k [Btus*h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000947/2012
Elgin / KBFI-36000-2 / KHFE-36000-2,Elgin / KBFI-36000-2 / KHFE-36000-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001591/2012
Pioneer	 KF-88G /   KF-88W,Pioneer	 KF-88G /   KF-88W,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000963/2012
PIONEER - MODELO KF-66G/X PN / KF-66W/X PN,PIONEER - MODELO KF-66G/X PN / KF-66W/X PN,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000963/2012
KAWASAKI	  KF-66G  / KF-66GW/A,KAWASAKI	  KF-66G  / KF-66GW/A,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,000965/2012
Pioneer	 KF-66G /   KF-66W,Pioneer	 KF-66G /   KF-66W,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000963/2012
Pioneer	 KF-32G /   KF-32W,Pioneer	 KF-32G /   KF-32W,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000963/2012
PIONEER - MODELO KF-88G/X PN / KF-88W/X PN,PIONEER - MODELO KF-88G/X PN / KF-88W/X PN,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000963/2012
PIONEER	 KF-35G/B PN  / KF-35W/B PN,PIONEER	 KF-35G/B PN  / KF-35W/B PN,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Ativo,000964/2012
VG/ASW-18A2-QRA1-2/AS-18A2-QAR1-2,VG/ASW-18A2-QRA1-2/AS-18A2-QAR1-2,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001276/2012
Westinghouse- DS5BA-031K - (unid. externa) - 31k [Btus/h],Westinghouse- DS5BA-031K - (unid. externa) - 31k [Btus/h],Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001676/2012
Carrier - 42LUCA009515LC / 38KCA009515MC,Carrier - 42LUCA009515LC / 38KCA009515MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Midea - 42MLCA12M5 / 38MLCA12M5,Midea - 42MLCA12M5 / 38MLCA12M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
